Companies 
------------------------------------ 
(0,Cisco,1,123),
(1,Comed,1,123),
(2,Google,1,123),
(3,Xerox,1,123),

Jobs 
------------------------------------ 
(2,0,Java Developer, 3 Years Experience),
(14,0,Junior Developer, College Degree),
(2,0,Java Developer, 3 Years Experience),
(4,1,Scrum Master, 2 years experience running a scrum team),
(8,1,Managment, 3 years Experience),
(18,1,Candy Maker, Golden Ticket),
(3,2,Web Developer, 3 years Experience),
(8,2,Managment, 3 years Experience),
(5,2,QA, 5 Years Experience),
(4,3,Scrum Master, 2 years experience running a scrum team),
(8,3,Managment, 3 years Experience),
(16,3,Full Stack Developer, 10000000 experience),

Skills 
------------------------------------ 
(0,11,33),
(0,1,33),
(0,14,33),
(0,12,33),
(0,7,33),
(0,12,33),
(0,7,33),
(0,13,33),
(0,5,33),
(1,13,33),
(1,7,33),
(1,19,33),
(1,20,33),
(1,12,33),
(1,27,33),
(1,25,33),
(1,10,33),
(1,11,33),
(2,9,33),
(2,19,33),
(2,25,33),
(2,6,33),
(2,2,33),
(2,11,33),
(2,20,33),
(2,6,33),
(2,7,33),
(3,20,33),
(3,24,33),
(3,17,33),
(3,23,33),
(3,14,33),
(3,19,33),
(3,24,33),
(3,9,33),
(3,11,33),
